"Message",Low,"已启动生成。"
"Message",Low,"项目“Unnamed_1”(默认目标):"
"Message",Low,"正在使用工具版本“4.0”进行生成。"
"Message",Low,"来自项目“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\Unnamed_1”的文件“C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets”中的目标“PrintILCStartMessage”(目标“Build”依赖于它):"
"Message",Low,"正在使用程序集“C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\ilc.exe”中的“IlcMessageTask”任务。"
"Message",Low,"任务“IlcMessageTask”"
"Message",High,"正在启动 .NET Native 编译"
"Message",Low,"已完成执行任务“IlcMessageTask”的操作。"
"Message",Low,"已完成在项目“Unnamed_1”中生成目标“PrintILCStartMessage”的操作。"
"Message",Low,"来自项目“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\Unnamed_1”的文件“C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets”中的目标“RunGatekeeper”(目标“Build”依赖于它):"
"Message",Low,"正在使用程序集“Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a”中的“WriteLinesToFile”任务。"
"Message",Low,"任务“WriteLinesToFile”"
"Message",Low,"已完成执行任务“WriteLinesToFile”的操作。"
"Message",Low,"正在使用程序集“Microsoft.Build.ILTasks”中的“StartProcessTask”任务。"
"Message",Low,"任务“StartProcessTask”"
"Message",Normal,"正在启动“C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\tools\Gatekeeper.exe @""D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\obj\ARM\Release\ilc\intermediate\gkargs.rsp""”"
"Message",Low,"Microsoft (R) .NET Native 网关守卫版本 1.0.24018.00 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"正在检查程序集“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\obj\ARM\Release\ilc\in\ACRCloudExtrDllCOM.winmd”。  "
"Message",Low,"正在检查程序集“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\obj\ARM\Release\ilc\in\ACRCloudWinPhoneSDK.exe”。  "
"Message",Low,"正在检查程序集“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\obj\ARM\Release\ilc\in\Microsoft.ApplicationInsights.dll”。  "
"Message",Low,"正在检查程序集“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\obj\ARM\Release\ilc\in\Microsoft.ApplicationInsights.Extensibility.Windows.dll”。  "
"Message",Low,"正在检查程序集“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\obj\ARM\Release\ilc\in\Microsoft.ApplicationInsights.PersistenceChannel.dll”。  "
"Message",Normal,"“C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\tools\Gatekeeper.exe @""D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\obj\ARM\Release\ilc\intermediate\gkargs.rsp""”已完成。"
"Message",Normal,"进程执行统计(所有时间均以毫秒为单位)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"启动  |  开始   |   停止   |   结束    | 持续时间 | 生存期 | [槽] 名称"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"       0 |       16 |      438 |      438 |      422 |      438 | [0] Gatekeeper"
"Message",Normal,"命令数:      1"
"Message",Normal,"总系统时间:       438 毫秒"
"Message",Normal,"每命令系统时间: 438 毫秒"
"Message",Normal,"总持续时间:          422 毫秒"
"Message",Normal,"总生存时间:          438 毫秒"
"Message",Normal,"请求的 DOP:           4"
"Message",Normal,"持续时间 DOP:            1.0"
"Message",Normal,"生存时间 DOP:            1.0"
"Message",Low,"已完成执行任务“StartProcessTask”的操作。"
"Message",Low,"已完成在项目“Unnamed_1”中生成目标“RunGatekeeper”的操作。"
"Message",Low,"来自项目“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\Unnamed_1”的文件“C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets”中的目标“LogAppContextSwitches”(目标“SetMainTargetPaths”依赖于它):"
"Message",Low,"正在使用程序集“Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a”中的“Message”任务。"
"Message",Low,"任务“Message”"
"Message",Normal,"AppContextSwitch: ''"
"Message",Low,"已完成执行任务“Message”的操作。"
"Message",Low,"已完成在项目“Unnamed_1”中生成目标“LogAppContextSwitches”的操作。"
"Message",Low,"来自项目“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\Unnamed_1”的文件“C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets”中的目标“SetMainTargetPaths”(目标“CopyNativeExecutablesToOutput”依赖于它):"
"Message",Low,"已完成在项目“Unnamed_1”中生成目标“SetMainTargetPaths”的操作。"
"Message",Low,"由于条件的计算结果为 false，已跳过目标“GenerateFakeExe”；(!Exists('@(InputILTarget)'))的计算结果为(!Exists('D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\obj\ARM\Release\ilc\in\ACRCloudWinPhoneSDK.exe'))。"
"Message",Low,"由于条件的计算结果为 false，已跳过目标“InjectCoreLibTypeForwards”；('$(UseSharedAssemblies)' != 'true')的计算结果为('true' != 'true')。"
"Message",Low,"来自项目“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\Unnamed_1”的文件“C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets”中的目标“InjectWindowsRuntimeTypeForwards”(目标“RunILTransforms”依赖于它):"
"Message",Low,"正在使用程序集“Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a”中的“MakeDir”任务。"
"Message",Low,"任务“MakeDir”"
"Message",Normal,"正在创建目录“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\obj\ARM\Release\ilc\intermediate\TransformedSRWR\”。"
"Message",Low,"已完成执行任务“MakeDir”的操作。"
"Message",Low,"正在使用程序集“Microsoft.Build.ILTasks”中的“ILTransformTask”任务。"
"Message",Low,"任务“ILTransformTask”"
"Message",Normal,"正在运行“InjectWindowsRuntimeTypeForwards”转换，于 7 MB 形成堆。"
"Message",Normal,"正在运行“WriteAssemblies”转换，于 14 MB 形成堆。"
"Message",Normal,""
"Message",Normal,"转换摘要"
"Message",Normal,"   毫秒 | 堆增量 | 名称"
"Message",Normal,"    66 |          7 | InjectWindowsRuntimeTypeForwards"
"Message",Normal,"    47 |          1 | WriteAssemblies"
"Message",Low,"已完成执行任务“ILTransformTask”的操作。"
"Message",Low,"已完成在项目“Unnamed_1”中生成目标“InjectWindowsRuntimeTypeForwards”的操作。"
"Message",Low,"由于条件的计算结果为 false，已跳过目标“InjectCoreLibTypeForwards”；('$(UseSharedAssemblies)' != 'true')的计算结果为('true' != 'true')。"
"Message",Low,"来自项目“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\Unnamed_1”的文件“C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets”中的目标“PreResolveTransforms”(目标“RunILTransforms”依赖于它):"
"Message",Low,"正在完全生成目标“PreResolveTransforms”。"
"Message",Low,"输出文件“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\obj\ARM\Release\ilc\intermediate\PreMergeILTransformed\ACRCloudWinPhoneSDK.exe”不存在。"
"Message",Low,"任务“MakeDir”"
"Message",Normal,"正在创建目录“D:\vsprojects\ACRCloudWinphoneSDK\ACRCloudWinPhoneSDK\obj\ARM\Release\ilc\intermediate\PreMergeILTransformed\”。"
